item_id,destination,accommodation_type,price
"London, UK_Hotel","London, UK",Hotel,1200
"Phuket, Thailand_Resort","Phuket, Thailand",Resort,800
"Bali, Indonesia_Villa","Bali, Indonesia",Villa,1000
"New York, USA_Hotel","New York, USA",Hotel,2000
"Tokyo, Japan_Airbnb","Tokyo, Japan",Airbnb,700
"Paris, France_Hotel","Paris, France",Hotel,1500
"Sydney, Australia_Hotel","Sydney, Australia",Hotel,500
"Rio de Janeiro, Brazil_Airbnb","Rio de Janeiro, Brazil",Airbnb,900
"Amsterdam, Netherlands_Hotel","Amsterdam, Netherlands",Hotel,1200
"Dubai, United Arab Emirates_Resort","Dubai, United Arab Emirates",Resort,2500
"Cancun, Mexico_Hotel","Cancun, Mexico",Hotel,1000
"Barcelona, Spain_Airbnb","Barcelona, Spain",Airbnb,800
"Honolulu, Hawaii_Resort","Honolulu, Hawaii",Resort,3000
"Berlin, Germany_Hotel","Berlin, Germany",Hotel,1400
"Marrakech, Morocco_Riad","Marrakech, Morocco",Riad,600
"Edinburgh, Scotland_Hotel","Edinburgh, Scotland",Hotel,900
Paris_Hotel,Paris,Hotel,$900 
Bali_Resort,Bali,Resort,"$1,500 "
London_Hotel,London,Hotel,"$1,200 "
Tokyo_Hotel,Tokyo,Hotel,"$1,200 "
New York_Airbnb,New York,Airbnb,$600 
Sydney_Hotel,Sydney,Hotel,"$1,000 "
Rome_Airbnb,Rome,Airbnb,$700 
Bangkok_Hostel,Bangkok,Hostel,$400 
Paris_Hotel,Paris,Hotel,"$1,400 "
Hawaii_Resort,Hawaii,Resort,"$2,000 "
Barcelona_Hotel,Barcelona,Hotel,"$1,100 "
Japan_Hotel,Japan,Hotel,$800 
Thailand_Hostel,Thailand,Hostel,$200 
France_Airbnb,France,Airbnb,$600 
Australia_Hotel,Australia,Hotel,"$1,000 "
Brazil_Hostel,Brazil,Hostel,$150 
Greece_Airbnb,Greece,Airbnb,$400 
Egypt_Hotel,Egypt,Hotel,$700 
Mexico_Airbnb,Mexico,Airbnb,$500 
Italy_Hostel,Italy,Hostel,$180 
Spain_Hotel,Spain,Hotel,$900 
Canada_Airbnb,Canada,Airbnb,$350 
"Paris, France_Hotel","Paris, France",Hotel,1400
"Sydney, Australia_Airbnb","Sydney, Australia",Airbnb,800
"Tokyo, Japan_Hostel","Tokyo, Japan",Hostel,500
"Cancun, Mexico_Resort","Cancun, Mexico",Resort,2200
"Rio de Janeiro, Brazil_Hotel","Rio de Janeiro, Brazil",Hotel,1200
"London, UK_Airbnb","London, UK",Airbnb,900
"Barcelona, Spain_Hostel","Barcelona, Spain",Hostel,600
"New York City, USA_Hotel","New York City, USA",Hotel,1500
"Bangkok, Thailand_Airbnb","Bangkok, Thailand",Airbnb,500
"Vancouver, Canada_Hostel","Vancouver, Canada",Hostel,400
"Amsterdam, Netherlands_Hotel","Amsterdam, Netherlands",Hotel,1100
"Paris, France_Hotel","Paris, France",Hotel,"$1,200 "
"Tokyo, Japan_Hostel","Tokyo, Japan",Hostel,$500 
"Sydney, AUS_Airbnb","Sydney, AUS",Airbnb,$900 
"New York, USA_Hotel","New York, USA",Hotel,"$1,400 "
"Rio de Janeiro, Brazil_Airbnb","Rio de Janeiro, Brazil",Airbnb,$800 
"Bangkok, Thailand_Hostel","Bangkok, Thailand",Hostel,$400 
"London, UK_Hotel","London, UK",Hotel,"$1,000 "
"Barcelona, Spain_Airbnb","Barcelona, Spain",Airbnb,$700 
"Seoul, South Korea_Hostel","Seoul, South Korea",Hostel,$500 
"Los Angeles, USA_Hotel","Los Angeles, USA",Hotel,"$1,200 "
"Rome, Italy_Airbnb","Rome, Italy",Airbnb,$800 
Paris_Hotel,Paris,Hotel,1200
Tokyo_Hostel,Tokyo,Hostel,400
Cape Town_Vacation rental,Cape Town,Vacation rental,800
Sydney_Hotel,Sydney,Hotel,1500
Barcelona_Vacation rental,Barcelona,Vacation rental,900
Bali_Resort,Bali,Resort,2200
Paris_Hotel,Paris,Hotel,1100
New York_Vacation rental,New York,Vacation rental,1000
Bangkok_Hostel,Bangkok,Hostel,300
Rome_Hotel,Rome,Hotel,1300
Bali_Resort,Bali,Resort,1800
nan_nan,,,
"Bali, Indonesia_Resort","Bali, Indonesia",Resort,500 USD
"Tokyo, Japan_Hotel","Tokyo, Japan",Hotel,1000 USD
"Cancun, Mexico_Resort","Cancun, Mexico",Resort,800 USD
"Paris, France_Hotel","Paris, France",Hotel,1200 USD
"Cape Town, SA_Guesthouse","Cape Town, SA",Guesthouse,400 USD
"Bali, Indonesia_Resort","Bali, Indonesia",Resort,600 USD
